[REC] ARMED — listening on GPIO6(CMD) + GPIO5(FB). Press microwave START.
[REC] buffer full.
---REC BEGIN---
idx,t_us,chan,level,dt_us
1116,618435,F,0,201
1117,618636,F,0,201
1118,618836,F,1,200
1119,619147,F,1,311
1120,619348,F,1,201
1121,619553,F,1,205
1122,619753,F,0,200
1123,619954,F,1,201
1124,620704,F,1,750
1125,620912,F,1,208
1126,621130,F,1,218
1127,621343,F,1,213
1128,621550,F,1,207
1129,621753,F,1,203
1130,621953,F,0,200
1131,622153,F,0,200
1132,622353,F,0,200
1133,622557,F,0,204
1134,622775,F,0,218
1135,622990,F,1,215
1136,623190,F,0,200
1137,623407,F,0,217
1138,623705,F,0,298
1139,624540,F,0,835
1140,624582,C,1,42
1141,625240,C,1,658
1142,625441,C,0,201
1143,625658,C,0,217
1144,625858,C,1,200
1145,626059,C,0,201
1146,626260,C,0,201
1147,626465,C,0,205
1148,626670,C,0,205
1149,626875,C,0,205
1150,627082,C,0,207
1151,627449,C,0,367
1152,627666,C,0,217
1153,627953,C,0,287
1154,628268,C,0,315
1155,628663,C,0,395
1156,629047,C,0,384
1157,629727,C,1,680
1158,630204,F,1,477
1159,630406,F,0,202
1160,630606,F,0,200
1161,630806,F,0,200
1162,631029,F,0,223
1163,631230,F,0,201
1164,631709,C,1,479
1165,631920,C,1,211
1166,632135,C,1,215
1167,632351,C,1,216
1168,632565,C,1,214
1169,632779,C,1,214
1170,632999,C,1,220
1171,633470,F,0,471
1172,633615,C,0,145
1173,633672,F,1,57
1174,634232,F,1,560
1175,634447,F,1,215
1176,634651,F,0,204
1177,634855,F,1,204
1178,635056,F,0,201
1179,635257,F,0,201
1180,635457,F,1,200
1181,635659,F,1,202
1182,635859,F,1,200
1183,636060,F,1,201
1184,636312,F,1,252
1185,636513,F,0,201
1186,636713,F,1,200
1187,636915,F,0,202
1188,637123,F,0,208
1189,637324,F,1,201
1190,637527,F,1,203
1191,637738,F,1,211
1192,637953,F,1,215
1193,638750,F,0,797
1194,638961,F,0,211
1195,639161,F,1,200
1196,639364,F,0,203
1197,639573,F,0,209
1198,639773,F,0,200
1199,639989,F,0,216
1200,640235,F,0,246
1201,640614,F,0,379
1202,641537,C,1,923
1203,641739,C,1,202
